SimStep,Vol,Pseudo,L,R,RL,P,pP
9.29,1,1,0,1.996630708,0.003369292,7.920648152,0.079351848
9.3,1,1,0,1.996664401,0.003335599,7.921427489,0.078572511
9.31,1,1,0,1.996697757,0.003302243,7.922199302,0.077800698
9.32,1,1,0,1.996730779,0.003269221,7.922963661,0.077036339
9.33,1,1,0,1.996763471,0.003236529,7.923720636,0.076279364
9.34,1,1,0,1.996795837,0.003204163,7.924470296,0.075529704
9.35,1,1,0,1.996827878,0.003172122,7.925212709,0.074787291
9.36,1,1,0,1.9968596,0.0031404,7.925947944,0.074052056
9.37,1,1,0,1.996891004,0.003108996,7.926676066,0.073323934
9.38,1,1,0,1.996922093,0.003077907,7.927397144,0.072602856
9.39,1,1,0,1.996952873,0.003047127,7.928111242,0.071888758
9.4,1,1,0,1.996983344,0.003016656,7.928818427,0.071181573
9.41,1,1,0,1.99701351,0.00298649,7.929518763,0.070481237
9.42,1,1,0,1.997043375,0.002956625,7.930212315,0.069787685
9.43,1,1,0,1.997072942,0.002927058,7.930899145,0.069100855
9.44,1,1,0,1.997102212,0.002897788,7.931579319,0.068420681
9.45,1,1,0,1.99713119,0.00286881,7.932252897,0.067747103
9.46,1,1,0,1.997159878,0.002840122,7.932919943,0.067080057
9.47,1,1,0,1.997188279,0.002811721,7.933580517,0.066419483
9.48,1,1,0,1.997216397,0.002783603,7.934234681,0.06576532
9.49,1,1,0,1.997244233,0.002755767,7.934882494,0.065117506
9.5,1,1,0,1.99727179,0.00272821,7.935524018,0.064475982
9.51,1,1,0,1.997299072,0.002700928,7.936159311,0.063840689
9.52,1,1,0,1.997326082,0.002673918,7.936788432,0.063211568
9.53,1,1,0,1.997352821,0.002647179,7.93741144,0.06258856
9.54,1,1,0,1.997379293,0.002620707,7.938028391,0.061971609
9.55,1,1,0,1.9974055,0.0025945,7.938639345,0.061360655
9.56,1,1,0,1.997431445,0.002568555,7.939244356,0.060755644
9.57,1,1,0,1.99745713,0.00254287,7.939843482,0.060156518
9.58,1,1,0,1.997482559,0.002517441,7.940436778,0.059563222
9.59,1,1,0,1.997507733,0.002492267,7.9410243,0.0589757
9.6,1,1,0,1.997532656,0.002467344,7.941606102,0.058393898
9.61,1,1,0,1.997557329,0.002442671,7.942182239,0.057817761
9.62,1,1,0,1.997581756,0.002418244,7.942752763,0.057247237
9.63,1,1,0,1.997605939,0.002394061,7.94331773,0.05668227
9.64,1,1,0,1.997629879,0.002370121,7.94387719,0.05612281
9.65,1,1,0,1.99765358,0.00234642,7.944431198,0.055568802
9.66,1,1,0,1.997677045,0.002322955,7.944979804,0.055020196
9.67,1,1,0,1.997700274,0.002299726,7.94552306,0.05447694
